countrycode,country,year,incomeClass
BHR,Bahrain,2002,UM
BHR,Bahrain,2003,H
BHR,Bahrain,2004,H
BHR,Bahrain,2005,H
BHR,Bahrain,2006,H
BHR,Bahrain,2007,H
BHR,Bahrain,2008,H
BHR,Bahrain,2009,H
BHR,Bahrain,2010,H
BHR,Bahrain,2011,H
BHR,Bahrain,2012,H
BHR,Bahrain,2013,H
BHR,Bahrain,2014,H
BGD,Bangladesh,1991,L
BGD,Bangladesh,1992,L
BGD,Bangladesh,1993,L
BGD,Bangladesh,1994,L
BGD,Bangladesh,1995,L
BGD,Bangladesh,1996,L
BGD,Bangladesh,1997,L
BGD,Bangladesh,1998,L
BGD,Bangladesh,1999,L
BGD,Bangladesh,2000,L
BGD,Bangladesh,2001,L
BGD,Bangladesh,2002,L
BGD,Bangladesh,2003,L
BGD,Bangladesh,2004,L
BGD,Bangladesh,2005,L
BGD,Bangladesh,2006,L
BGD,Bangladesh,2007,L
BGD,Bangladesh,2008,L
BGD,Bangladesh,2009,L
BGD,Bangladesh,2010,L
BGD,Bangladesh,2011,L
BGD,Bangladesh,2012,L
BGD,Bangladesh,2013,L
BGD,Bangladesh,2014,L
BRB,Barbados,1991,H
BRB,Barbados,1992,UM
BRB,Barbados,1993,UM
BRB,Barbados,1994,UM
BRB,Barbados,1995,UM
BRB,Barbados,1996,UM
BRB,Barbados,1997,UM
BRB,Barbados,1998,UM
BRB,Barbados,1999,UM
BRB,Barbados,2000,UM
BRB,Barbados,2001,UM
BRB,Barbados,2002,H
BRB,Barbados,2003,UM
BRB,Barbados,2004,H
BRB,Barbados,2005,UM
BRB,Barbados,2006,UM
BRB,Barbados,2007,UM
BRB,Barbados,2008,H
BRB,Barbados,2009,H
BRB,Barbados,2010,H
BRB,Barbados,2011,H
BRB,Barbados,2012,H
BRB,Barbados,2013,H
BRB,Barbados,2014,H
BLR,Belarus,1991,Missing
BLR,Belarus,1992,Missing
BLR,Belarus,1993,UM
BLR,Belarus,1994,UM
BLR,Belarus,1995,UM
BLR,Belarus,1996,LM
BLR,Belarus,1997,LM
BLR,Belarus,1998,LM
BLR,Belarus,1999,LM
BLR,Belarus,2000,LM
BLR,Belarus,2001,LM
BLR,Belarus,2002,LM
BLR,Belarus,2003,LM
BLR,Belarus,2004,LM
BLR,Belarus,2005,LM
BLR,Belarus,2006,LM
BLR,Belarus,2007,LM
BLR,Belarus,2008,LM
BLR,Belarus,2009,UM
BLR,Belarus,2010,UM
BLR,Belarus,2011,UM
BLR,Belarus,2012,UM
BLR,Belarus,2013,UM
BLR,Belarus,2014,UM
BEL,Belgium,1991,H
BEL,Belgium,1992,H
BEL,Belgium,1993,H
BEL,Belgium,1994,H
BEL,Belgium,1995,H
BEL,Belgium,1996,H
BEL,Belgium,1997,H
BEL,Belgium,1998,H
BEL,Belgium,1999,H
BEL,Belgium,2000,H
BEL,Belgium,2001,H
BEL,Belgium,2002,H
BEL,Belgium,2003,H
BEL,Belgium,2004,H
BEL,Belgium,2005,H
BEL,Belgium,2006,H
BEL,Belgium,2007,H
BEL,Belgium,2008,H
BEL,Belgium,2009,H
BEL,Belgium,2010,H
BEL,Belgium,2011,H
BEL,Belgium,2012,H
BEL,Belgium,2013,H
BEL,Belgium,2014,H
BLZ,Belize,1991,LM
BLZ,Belize,1992,LM
BLZ,Belize,1993,LM
BLZ,Belize,1994,LM
BLZ,Belize,1995,LM
BLZ,Belize,1996,LM
BLZ,Belize,1997,LM
BLZ,Belize,1998,LM
BLZ,Belize,1999,LM
BLZ,Belize,2000,LM
BLZ,Belize,2001,LM
BLZ,Belize,2002,LM
BLZ,Belize,2003,LM
BLZ,Belize,2004,UM
BLZ,Belize,2005,UM
BLZ,Belize,2006,UM
BLZ,Belize,2007,UM
BLZ,Belize,2008,UM
BLZ,Belize,2009,UM
BLZ,Belize,2010,LM
BLZ,Belize,2011,LM
BLZ,Belize,2012,LM
BLZ,Belize,2013,LM
BLZ,Belize,2014,UM
BEN,Benin,1991,L
BEN,Benin,1992,L
BEN,Benin,1993,L
BEN,Benin,1994,L
BEN,Benin,1995,L
BEN,Benin,1996,L
BEN,Benin,1997,L
BEN,Benin,1998,L
BEN,Benin,1999,L
BEN,Benin,2000,L
BEN,Benin,2001,L
BEN,Benin,2002,L
BEN,Benin,2003,L
BEN,Benin,2004,L
BEN,Benin,2005,L
BEN,Benin,2006,L
BEN,Benin,2007,L
BEN,Benin,2008,L
BEN,Benin,2009,L
BEN,Benin,2010,L
BEN,Benin,2011,L
BEN,Benin,2012,L
BEN,Benin,2013,L
BEN,Benin,2014,L
BMU,Bermuda,1991,H
BMU,Bermuda,1992,H
BMU,Bermuda,1993,H
BMU,Bermuda,1994,H
BMU,Bermuda,1995,H
BMU,Bermuda,1996,H
BMU,Bermuda,1997,H
BMU,Bermuda,1998,H
BMU,Bermuda,1999,H
BMU,Bermuda,2000,H
BMU,Bermuda,2001,H
BMU,Bermuda,2002,H
BMU,Bermuda,2003,H
BMU,Bermuda,2004,H
BMU,Bermuda,2005,H
BMU,Bermuda,2006,H
BMU,Bermuda,2007,H
BMU,Bermuda,2008,H
BMU,Bermuda,2009,H
BMU,Bermuda,2010,H
BMU,Bermuda,2011,H
BMU,Bermuda,2012,H
BMU,Bermuda,2013,H
BTN,Bhutan,1991,L
BTN,Bhutan,1992,L
BTN,Bhutan,1993,L
BTN,Bhutan,1994,L
